Phrase,Cerebro IQ Score,Search_volume,Competing Products,CPR 8-Day Giveaways,Sponsored ASINs,Amazon Recommended,Sponsored,Organic,Amazon Recommended Rank,Sponsored_rank,Organic_rank
used furbo,-,-,-,-,0,1,0,0,386,-,-
video treat dispenser,672,314,467,8,141,1,1,1,387,1,14
wifi dog feeder with camera,568,151,266,8,78,1,0,0,388,-,-
alexa dog feeder,932,136,146,8,0,1,0,0,389,-,-
alexa pet,-,-,-,-,0,1,0,0,390,-,-
animal camera monitor indoor,2227,559,251,16,96,1,0,1,391,-,5
automatic fetch machine dogs,-,-,-,-,0,1,0,0,392,-,-
best dog camera,2,97,50000,8,0,1,0,0,393,-,-
camara para mascotas,-,-,-,-,0,1,0,0,394,-,-
dog bark camera,-,-,112,-,0,1,0,0,395,-,-
dog camera bark alert,-,-,-,-,0,1,0,0,396,-,-
dog camera with iphone app,110,86,779,8,0,1,0,0,397,-,-
dog gadgets,482,1928,4000,40,452,1,0,1,398,-,8
dog spy camera,365,145,397,8,0,1,0,0,399,-,-
electronic dog toy,367,367,1000,8,344,1,1,1,400,50,29
doggie camera treat dispenser,-,-,-,-,0,1,0,0,401,-,-
per camera,551,381,691,8,0,1,0,0,402,-,-
per camera monitor,187,187,1000,8,102,1,0,0,403,-,-
pet cam with treat dispenser,676,100,148,8,125,1,0,0,405,-,-
pet camera 2 way video,130,130,1000,8,0,1,0,0,406,-,-
pet camera laser,986,286,290,8,356,1,1,1,407,3,10
pet camera two way video,292,292,1000,8,120,1,0,1,408,-,50
pet cube camera,292,189,648,8,200,1,0,0,409,-,-
pet gadgets,128,255,2000,8,79,1,0,1,410,-,8
pet nanny cam,88,79,902,8,290,1,0,0,411,-,-
pet toy,128,2550,20000,80,463,1,0,1,412,-,127
pet tutor treat dispenser,-,-,-,-,0,1,0,0,413,-,-
pet video chat,973,287,295,8,25,1,0,1,414,-,3
petcube camera,2852,251,88,8,106,1,1,1,416,3,3
petzi camera,8643,121,14,8,0,1,0,0,418,-,-
smart pet,79,314,4000,8,430,1,1,1,420,57,6
wifi dog feeder,325,79,243,8,0,1,0,0,421,-,-
accesorios para perros,8173,2550,312,56,474,1,0,1,422,-,19
animal camera,136,272,2000,8,315,1,1,1,423,43,35
automatic dog feeder with camera,1291,151,117,8,200,1,0,0,424,-,-
best dog toys,128,2550,20000,80,393,1,0,1,425,-,291
best pet camera,179,179,1000,8,360,1,0,0,426,-,-
best pet camera dogs,-,-,-,-,0,1,0,0,427,-,-
cat accessories,1851,16657,9000,384,419,1,1,1,428,40,99
cat camera monitor,2328,810,348,16,376,1,1,1,429,1,16
cat camera with laser,271,55,203,8,229,1,0,0,430,-,-
cat treat camera,762,240,315,8,232,1,1,1,431,1,3
cat treat dispenser,2038,1657,813,40,289,1,1,1,432,49,15
dog accesories,107,747,7000,24,457,1,0,1,433,-,29
dog assessory,111,111,1000,8,0,1,0,0,434,-,-
dog christmas,2,151,80000,8,385,1,0,0,435,-,-
dog dispenser,31,92,3000,8,72,1,0,0,436,-,-
dog items,173,3466,20000,104,421,1,1,1,437,26,41
dog phone,237,237,1000,8,120,1,1,1,438,1,3
dog storage,437,2186,5000,48,428,1,1,1,439,11,18
dog treat container airtight,7773,4547,585,104,343,1,1,1,440,14,22
dog watching camera,351,351,1000,8,0,1,0,0,441,-,-
doggy camera with iphone app,2847,427,150,8,0,1,0,0,442,-,-
doggy camera with phone app,7726,1267,164,32,229,1,1,1,443,10,10
doggy monitor,195,149,765,8,0,1,0,0,444,-,-
frenchie clothes dogs,-,-,-,-,0,1,0,0,445,-,-
furbo accessories,1107,207,187,8,0,1,0,0,446,-,-
indoor pet camera,1432,1432,1000,32,411,1,1,1,447,9,46
interactive dog treat dispenser,220,128,583,8,0,1,0,0,448,-,-
lovoom pet camera,-,-,89,-,0,1,0,0,449,-,-
matching dog owner pajamas,233,69,296,8,0,1,0,0,450,-,-
matching dog owner shirts,1356,118,87,8,0,1,0,0,451,-,-
nest dog camera,255,237,931,8,355,1,1,1,452,1,3
pawbo life wifi pet camera,1326,118,89,8,0,1,0,0,454,-,-
pet accessories,10,951,100000,32,402,1,1,1,455,64,47
pet canera,-,-,8000,-,0,1,0,0,456,-,-
pet tech,65,65,1000,8,246,1,0,0,457,-,-
pet treat dog,-,-,-,-,0,1,0,0,458,-,-
pet webcam,756,204,270,8,369,1,0,1,459,-,2
petzi treat cam,9211,350,38,8,53,1,1,1,460,1,1
puppy cameras with phone app,9422,2431,258,56,403,1,1,1,461,5,8
puppy necessities,1497,810,541,16,146,1,1,1,462,23,18
remote dog feeder with camera,-,-,-,-,0,1,0,0,463,-,-
remote treat dispenser,190,125,659,8,0,1,0,0,464,-,-
stocking stuffers dogs,24,235,10000,8,210,1,0,1,465,-,90
weird dog products,31,154,5000,8,327,1,0,0,466,-,-
wifi pet feeder with camera,130,85,652,8,0,1,0,0,467,-,-
yorkie accessories,1272,3817,3000,88,371,1,0,1,468,-,27
cat treat feeder,65,65,1000,8,263,1,0,0,469,-,-
clever pet,137,137,1000,8,253,1,0,0,470,-,-
cute dog stuff,81,810,10000,24,398,1,1,1,471,25,22
dog accessories large,1,44,100000,8,137,1,0,0,472,-,-
dog accessories medium,1,44,100000,8,0,1,0,0,473,-,-
dog camera with audio,351,351,1000,8,0,1,0,0,474,-,-
dog feeder,4639,9277,2000,176,368,1,1,1,475,68,117
dog gear,338,1352,4000,32,414,1,0,1,476,-,49
dog interactive toys boredom,-,-,-,-,0,1,0,0,477,-,-
dog necessities,478,313,655,8,403,1,1,1,478,68,50
dog security camera,484,484,1000,8,464,1,1,1,479,1,14
dog supplies,197,19703,100000,488,434,1,0,1,480,-,87
dog things,54,4322,80000,144,446,1,0,1,481,-,38
doggie toys,100,598,6000,16,394,1,1,1,482,27,73
german shepherd accessories,18,35,2000,8,333,1,0,0,483,-,-
gourmet dog treats,551,391,710,8,316,1,1,1,484,57,46
kitty cam,3109,314,101,8,183,1,1,1,485,1,9
louis vuitton dog,8826,406,46,8,29,1,1,1,486,2,2
louis vuitton phone case,138000,4554,33,104,0,1,0,1,487,-,5
outdoor pet camera,81,81,1000,8,0,1,0,0,488,-,-
pet camera with audio,747,747,1000,16,423,1,1,1,490,3,13
